location,date,b3001,b3002,b3003,b3004,b3005,b3006
?,9-10-2020 7:31:24 PM,-73,-200,-200,-56,-83,-77
?,9-10-2020 7:31:25 PM,-76,-200,-59,-59,-97,-69
?,9-10-2020 7:31:26 PM,-67,-200,-200,-63,-200,-77
?,9-10-2020 7:31:27 PM,-70,-73,-200,-61,-97,-76
?,9-10-2020 7:31:28 PM,-65,-200,-58,-65,-94,-67
?,9-10-2020 7:31:29 PM,-62,-200,-80,-56,-88,-73
?,9-10-2020 7:31:30 PM,-73,-200,-200,-57,-89,-80
?,9-10-2020 7:31:31 PM,-69,-200,-200,-62,-79,-69
?,9-10-2020 7:31:32 PM,-64,-200,-200,-57,-79,-68
?,9-10-2020 7:31:33 PM,-74,-90,-73,-64,-200,-69
?,9-10-2020 7:31:34 PM,-63,-200,-73,-67,-83,-72
?,9-10-2020 7:31:35 PM,-70,-200,-74,-67,-92,-68
?,9-10-2020 7:31:36 PM,-76,-200,-200,-63,-79,-79
?,9-10-2020 7:31:37 PM,-73,-200,-56,-54,-91,-72
?,9-10-2020 7:31:38 PM,-72,-200,-73,-61,-84,-70
?,9-10-2020 7:31:39 PM,-71,-75,-56,-58,-87,-64
?,9-10-2020 7:31:40 PM,-72,-200,-200,-59,-85,-78
?,9-10-2020 7:31:41 PM,-74,-200,-200,-59,-82,-94
?,9-10-2020 7:31:42 PM,-69,-200,-200,-58,-85,-81
?,9-10-2020 7:31:43 PM,-73,-70,-81,-60,-200,-80
?,9-10-2020 7:31:44 PM,-71,-200,-84,-63,-90,-78
?,9-10-2020 7:31:45 PM,-67,-200,-200,-62,-73,-78
?,9-10-2020 7:31:46 PM,-75,-200,-200,-57,-79,-78
?,9-10-2020 7:31:47 PM,-73,-200,-200,-54,-89,-76
?,9-10-2020 7:31:48 PM,-65,-93,-200,-68,-93,-74
?,9-10-2020 7:31:49 PM,-66,-200,-200,-70,-81,-78
?,9-10-2020 7:31:50 PM,-70,-91,-200,-66,-92,-86
?,9-10-2020 7:31:51 PM,-66,-200,-200,-65,-91,-83
?,9-10-2020 7:31:52 PM,-72,-200,-200,-59,-77,-78
?,9-10-2020 7:31:53 PM,-54,-200,-60,-66,-80,-78
?,9-10-2020 7:31:54 PM,-57,-200,-200,-67,-79,-78
?,9-10-2020 7:31:55 PM,-59,-74,-200,-58,-200,-80
?,9-10-2020 7:31:56 PM,-59,-200,-200,-73,-90,-79
?,9-10-2020 7:31:57 PM,-58,-200,-47,-69,-83,-79
?,9-10-2020 7:31:58 PM,-54,-200,-49,-60,-79,-74
?,9-10-2020 7:31:59 PM,-61,-82,-65,-65,-87,-83
?,9-10-2020 7:32:00 PM,-55,-200,-200,-72,-77,-75
?,9-10-2020 7:32:01 PM,-55,-84,-200,-67,-200,-73
?,9-10-2020 7:32:02 PM,-58,-200,-58,-64,-83,-76
?,9-10-2020 7:32:03 PM,-63,-81,-60,-71,-200,-71
?,9-10-2020 7:32:04 PM,-56,-200,-71,-66,-200,-76
?,9-10-2020 7:32:05 PM,-53,-76,-200,-71,-200,-81
?,9-10-2020 7:32:06 PM,-50,-200,-60,-68,-91,-65
?,9-10-2020 7:32:07 PM,-48,-82,-60,-70,-88,-69
?,9-10-2020 7:32:08 PM,-60,-200,-75,-74,-83,-73
?,9-10-2020 7:32:09 PM,-49,-200,-77,-69,-200,-72
?,9-10-2020 7:32:10 PM,-50,-200,-200,-75,-79,-71
?,9-10-2020 7:32:11 PM,-56,-87,-200,-75,-200,-75
?,9-10-2020 7:32:12 PM,-56,-200,-83,-67,-94,-75
?,9-10-2020 7:32:13 PM,-56,-61,-75,-69,-87,-75
?,9-10-2020 7:32:14 PM,-59,-200,-200,-74,-81,-82
?,9-10-2020 7:32:15 PM,-55,-87,-200,-66,-83,-69
?,9-10-2020 7:32:16 PM,-49,-200,-58,-70,-81,-79
?,9-10-2020 7:32:17 PM,-54,-78,-61,-69,-200,-79
?,9-10-2020 7:32:18 PM,-56,-200,-79,-73,-200,-78
?,9-10-2020 7:32:19 PM,-57,-71,-200,-67,-200,-78
?,9-10-2020 7:32:20 PM,-57,-200,-59,-69,-200,-75
?,9-10-2020 7:32:21 PM,-52,-200,-78,-71,-200,-78
?,9-10-2020 7:32:22 PM,-50,-200,-68,-72,-200,-76
?,9-10-2020 7:32:23 PM,-60,-200,-200,-75,-200,-77
?,9-10-2020 7:32:24 PM,-61,-85,-200,-75,-200,-75
?,9-10-2020 7:32:25 PM,-62,-200,-200,-68,-200,-75
?,9-10-2020 7:32:26 PM,-54,-70,-58,-62,-200,-73
?,9-10-2020 7:32:27 PM,-61,-200,-71,-68,-200,-74
?,9-10-2020 7:32:28 PM,-51,-77,-200,-68,-200,-79
?,9-10-2020 7:32:29 PM,-47,-200,-200,-71,-200,-74
?,9-10-2020 7:32:30 PM,-52,-200,-63,-73,-200,-79
?,9-10-2020 7:32:31 PM,-56,-200,-69,-69,-200,-79
?,9-10-2020 7:32:32 PM,-52,-78,-70,-72,-200,-81
?,9-10-2020 7:32:33 PM,-52,-200,-200,-72,-200,-75
?,9-10-2020 7:32:34 PM,-61,-82,-200,-63,-200,-83
?,9-10-2020 7:32:35 PM,-57,-200,-200,-74,-82,-75
?,9-10-2020 7:32:36 PM,-51,-200,-78,-64,-100,-80
?,9-10-2020 7:32:37 PM,-55,-200,-60,-76,-200,-70
?,9-10-2020 7:32:38 PM,-56,-200,-200,-72,-200,-75
?,9-10-2020 7:32:39 PM,-59,-200,-200,-68,-200,-71
?,9-10-2020 7:32:40 PM,-55,-76,-78,-76,-200,-72
?,9-10-2020 7:32:41 PM,-60,-200,-68,-73,-200,-79
?,9-10-2020 7:32:42 PM,-56,-200,-200,-69,-89,-78
?,9-10-2020 7:32:43 PM,-58,-200,-200,-76,-200,-81
?,9-10-2020 7:32:44 PM,-49,-75,-200,-74,-89,-81
?,9-10-2020 7:32:45 PM,-56,-200,-57,-60,-92,-77
?,9-10-2020 7:32:46 PM,-65,-78,-70,-68,-93,-79
?,9-10-2020 7:32:47 PM,-58,-200,-72,-69,-200,-76
?,9-10-2020 7:32:48 PM,-54,-81,-200,-65,-83,-77
?,9-10-2020 7:32:49 PM,-58,-200,-200,-58,-77,-80
?,9-10-2020 7:32:50 PM,-41,-73,-73,-68,-78,-70
?,9-10-2020 7:32:51 PM,-52,-200,-55,-71,-200,-66
?,9-10-2020 7:32:52 PM,-53,-200,-200,-76,-200,-65
?,9-10-2020 7:32:53 PM,-54,-200,-200,-69,-200,-74
?,9-10-2020 7:32:54 PM,-57,-200,-200,-69,-90,-75
?,9-10-2020 7:32:55 PM,-59,-200,-66,-73,-85,-69
?,9-10-2020 7:32:56 PM,-58,-200,-86,-70,-200,-78
?,9-10-2020 7:32:57 PM,-60,-77,-78,-77,-91,-59
?,9-10-2020 7:32:58 PM,-65,-200,-200,-73,-86,-74
?,9-10-2020 7:32:59 PM,-59,-200,-69,-67,-200,-85
?,9-10-2020 7:33:00 PM,-60,-200,-200,-59,-200,-74
?,9-10-2020 7:33:01 PM,-65,-89,-200,-70,-94,-76
?,9-10-2020 7:33:02 PM,-65,-200,-200,-75,-78,-78
?,9-10-2020 7:33:03 PM,-58,-72,-200,-72,-200,-72
?,9-10-2020 7:33:04 PM,-61,-200,-200,-70,-96,-80
?,9-10-2020 7:33:05 PM,-63,-200,-200,-67,-85,-71
?,9-10-2020 7:33:06 PM,-67,-200,-61,-70,-88,-70
?,9-10-2020 7:33:07 PM,-75,-200,-200,-70,-86,-73
?,9-10-2020 7:33:08 PM,-65,-200,-200,-67,-200,-74
?,9-10-2020 7:33:09 PM,-64,-200,-69,-70,-71,-74
?,9-10-2020 7:33:10 PM,-65,-200,-200,-65,-86,-69
?,9-10-2020 7:33:11 PM,-57,-200,-65,-70,-200,-66
?,9-10-2020 7:33:12 PM,-72,-77,-200,-65,-86,-65
?,9-10-2020 7:33:13 PM,-61,-200,-200,-74,-81,-65
?,9-10-2020 7:33:14 PM,-63,-90,-51,-61,-84,-61
