location,date,b3001,b3002,b3003,b3004,b3005,b3006
?,9-24-2020 8:27:17 PM,-48,-200,-200,-200,-200,-200
?,9-24-2020 8:27:18 PM,-40,-200,-200,-200,-200,-200
?,9-24-2020 8:27:20 PM,-49,-200,-200,-200,-200,-200
?,9-24-2020 8:27:21 PM,-35,-200,-200,-200,-200,-200
?,9-24-2020 8:27:22 PM,-40,-45,-200,-200,-200,-200
?,9-24-2020 8:27:23 PM,-38,-200,-200,-200,-200,-200
?,9-24-2020 8:27:24 PM,-38,-200,-200,-200,-200,-200
?,9-24-2020 8:27:25 PM,-36,-61,-200,-200,-200,-200
?,9-24-2020 8:27:26 PM,-45,-200,-200,-200,-200,-200
?,9-24-2020 8:27:27 PM,-34,-200,-200,-200,-200,-200
?,9-24-2020 8:27:28 PM,-39,-45,-200,-200,-200,-200
?,9-24-2020 8:27:29 PM,-35,-200,-200,-200,-200,-200
?,9-24-2020 8:27:30 PM,-29,-62,-200,-200,-200,-200
?,9-24-2020 8:27:31 PM,-30,-200,-200,-200,-200,-200
?,9-24-2020 8:27:32 PM,-34,-62,-200,-200,-200,-200
?,9-24-2020 8:27:33 PM,-32,-200,-200,-200,-200,-200
?,9-24-2020 8:27:34 PM,-44,-200,-200,-200,-200,-200
?,9-24-2020 8:27:35 PM,-46,-200,-200,-200,-200,-200
?,9-24-2020 8:27:36 PM,-31,-200,-200,-200,-200,-200
?,9-24-2020 8:27:37 PM,-45,-200,-200,-200,-200,-200
?,9-24-2020 8:27:38 PM,-26,-41,-200,-200,-200,-200
?,9-24-2020 8:27:39 PM,-40,-200,-200,-200,-200,-200
?,9-24-2020 8:27:40 PM,-37,-200,-200,-200,-200,-200
?,9-24-2020 8:27:41 PM,-45,-200,-200,-200,-200,-200
?,9-24-2020 8:27:42 PM,-34,-200,-200,-200,-200,-200
?,9-24-2020 8:27:43 PM,-43,-200,-200,-200,-200,-200
?,9-24-2020 8:27:44 PM,-33,-41,-200,-200,-200,-200
?,9-24-2020 8:27:45 PM,-42,-200,-200,-200,-200,-200
?,9-24-2020 8:27:46 PM,-39,-57,-200,-200,-200,-200
?,9-24-2020 8:27:47 PM,-28,-200,-200,-200,-200,-200
?,9-24-2020 8:27:48 PM,-35,-200,-200,-200,-200,-200
?,9-24-2020 8:27:49 PM,-42,-200,-200,-200,-200,-200
?,9-24-2020 8:27:50 PM,-37,-200,-200,-200,-200,-200
?,9-24-2020 8:27:51 PM,-45,-200,-200,-200,-200,-200
?,9-24-2020 8:27:52 PM,-37,-200,-200,-200,-200,-200
?,9-24-2020 8:27:53 PM,-43,-200,-200,-200,-200,-200
?,9-24-2020 8:27:54 PM,-46,-200,-200,-200,-200,-200
?,9-24-2020 8:27:56 PM,-34,-200,-200,-200,-200,-200
?,9-24-2020 8:27:57 PM,-44,-200,-200,-200,-200,-200
?,9-24-2020 8:27:58 PM,-36,-42,-200,-200,-200,-200
?,9-24-2020 8:27:59 PM,-31,-200,-200,-200,-200,-200
?,9-24-2020 8:28:00 PM,-44,-200,-200,-200,-200,-200
?,9-24-2020 8:28:01 PM,-34,-200,-200,-200,-200,-200
?,9-24-2020 8:28:02 PM,-45,-41,-200,-200,-200,-200
?,9-24-2020 8:28:03 PM,-43,-200,-200,-200,-200,-200
?,9-24-2020 8:28:04 PM,-42,-200,-200,-200,-200,-200
?,9-24-2020 8:28:05 PM,-40,-200,-200,-200,-200,-200
?,9-24-2020 8:28:06 PM,-40,-200,-200,-200,-200,-200
?,9-24-2020 8:28:07 PM,-41,-200,-200,-200,-200,-200
?,9-24-2020 8:28:08 PM,-37,-200,-200,-200,-200,-200
?,9-24-2020 8:28:09 PM,-31,-200,-200,-200,-200,-200
?,9-24-2020 8:28:10 PM,-36,-200,-200,-200,-200,-200
?,9-24-2020 8:28:11 PM,-45,-200,-200,-200,-200,-200
?,9-24-2020 8:28:12 PM,-39,-200,-200,-200,-200,-200
?,9-24-2020 8:28:13 PM,-36,-200,-200,-200,-200,-200
?,9-24-2020 8:28:14 PM,-37,-200,-200,-200,-200,-200
?,9-24-2020 8:28:15 PM,-42,-200,-200,-200,-200,-200
?,9-24-2020 8:28:16 PM,-31,-200,-200,-200,-200,-200
?,9-24-2020 8:28:17 PM,-40,-200,-200,-200,-200,-200
?,9-24-2020 8:28:18 PM,-42,-200,-200,-200,-200,-200
?,9-24-2020 8:28:19 PM,-38,-200,-200,-200,-200,-200
?,9-24-2020 8:28:20 PM,-44,-200,-200,-200,-200,-200
?,9-24-2020 8:28:21 PM,-37,-200,-200,-200,-200,-200
?,9-24-2020 8:28:22 PM,-37,-59,-200,-200,-200,-200
?,9-24-2020 8:28:23 PM,-34,-200,-200,-200,-200,-200
?,9-24-2020 8:28:24 PM,-45,-60,-200,-200,-200,-200
?,9-24-2020 8:28:25 PM,-27,-200,-200,-200,-200,-200
?,9-24-2020 8:28:26 PM,-42,-200,-200,-200,-200,-200
?,9-24-2020 8:28:27 PM,-35,-200,-200,-200,-200,-200
?,9-24-2020 8:28:28 PM,-45,-200,-200,-200,-200,-200
?,9-24-2020 8:28:29 PM,-33,-200,-200,-200,-200,-200
?,9-24-2020 8:28:30 PM,-29,-200,-200,-200,-200,-200
?,9-24-2020 8:28:31 PM,-29,-59,-200,-200,-200,-200
?,9-24-2020 8:28:32 PM,-31,-200,-200,-200,-200,-200
?,9-24-2020 8:28:33 PM,-35,-42,-200,-200,-200,-200
