location,date,beacon1,beacon2,beacon3,beacon4,beacon5
19,10-2-2020 5:59:12 PM,-72,-75,-59,-85,-79
19,10-2-2020 5:59:13 PM,-69,-75,-59,-82,-80
19,10-2-2020 5:59:14 PM,-70,-73,-61,-79,-81
19,10-2-2020 5:59:15 PM,-70,-68,-61,-75,-79
19,10-2-2020 5:59:16 PM,-69,-64,-62,-73,-82
19,10-2-2020 5:59:17 PM,-68,-60,-61,-74,-81
19,10-2-2020 5:59:18 PM,-70,-60,-64,-72,-85
19,10-2-2020 5:59:19 PM,-69,-59,-67,-69,-87
19,10-2-2020 5:59:20 PM,-69,-59,-66,-67,-85
19,10-2-2020 5:59:21 PM,-68,-57,-63,-70,-85
19,10-2-2020 5:59:22 PM,-67,-57,-61,-70,-89
19,10-2-2020 5:59:23 PM,-71,-57,-60,-71,-90
19,10-2-2020 5:59:24 PM,-68,-58,-64,-69,-87
19,10-2-2020 5:59:25 PM,-70,-58,-65,-68,-86
19,10-2-2020 5:59:26 PM,-69,-58,-67,-69,-83
19,10-2-2020 5:59:27 PM,-70,-56,-66,-66,-82
19,10-2-2020 5:59:28 PM,-69,-60,-68,-67,-81
19,10-2-2020 5:59:29 PM,-68,-60,-68,-65,-80
19,10-2-2020 5:59:30 PM,-70,-62,-63,-67,-81
19,10-2-2020 5:59:31 PM,-71,-58,-66,-67,-81
19,10-2-2020 5:59:32 PM,-72,-59,-67,-67,-81
19,10-2-2020 5:59:33 PM,-71,-57,-65,-68,-86
19,10-2-2020 5:59:34 PM,-69,-61,-69,-67,-82
19,10-2-2020 5:59:35 PM,-70,-62,-67,-73,-81
19,10-2-2020 5:59:36 PM,-70,-62,-66,-75,-82
19,10-2-2020 5:59:37 PM,-72,-60,-61,-76,-82
19,10-2-2020 5:59:38 PM,-72,-58,-62,-80,-79
19,10-2-2020 5:59:39 PM,-68,-59,-59,-78,-79
19,10-2-2020 5:59:40 PM,-67,-59,-62,-79,-78
19,10-2-2020 5:59:41 PM,-64,-62,-60,-82,-78
19,10-2-2020 5:59:42 PM,-64,-64,-58,-84,-78
19,10-2-2020 5:59:43 PM,-68,-63,-61,-82,-80
19,10-2-2020 5:59:44 PM,-69,-65,-57,-85,-82
19,10-2-2020 5:59:45 PM,-72,-64,-57,-81,-82
19,10-2-2020 5:59:46 PM,-72,-63,-56,-82,-80
19,10-2-2020 5:59:47 PM,-73,-59,-58,-82,-79
19,10-2-2020 5:59:48 PM,-70,-58,-59,-80,-77
19,10-2-2020 5:59:49 PM,-73,-60,-59,-78,-77
19,10-2-2020 5:59:50 PM,-73,-59,-55,-78,-78
19,10-2-2020 5:59:51 PM,-68,-58,-54,-81,-82
19,10-2-2020 5:59:52 PM,-70,-57,-58,-80,-82
19,10-2-2020 5:59:53 PM,-67,-56,-60,-79,-83
19,10-2-2020 5:59:54 PM,-65,-59,-59,-84,-78
19,10-2-2020 5:59:55 PM,-63,-56,-58,-82,-76
19,10-2-2020 5:59:56 PM,-66,-58,-59,-81,-76
19,10-2-2020 5:59:57 PM,-65,-61,-58,-81,-79
19,10-2-2020 5:59:58 PM,-67,-58,-57,-81,-76
19,10-2-2020 5:59:59 PM,-69,-56,-58,-79,-76
