location,date,beacon1,beacon2,beacon3,beacon4,beacon5
19,10-2-2020 5:59:12 PM,-72,-75,-59,-85,-79
19,10-2-2020 5:59:13 PM,-68,-71,-56,-81,-76
19,10-2-2020 5:59:14 PM,-76,-68,-63,-83,-83
19,10-2-2020 5:59:15 PM,-72,-61,-63,-73,-76
19,10-2-2020 5:59:16 PM,-67,-56,-63,-73,-80
19,10-2-2020 5:59:17 PM,-67,-52,-61,-71,-79
19,10-2-2020 5:59:18 PM,-73,-59,-67,-67,-85
19,10-2-2020 5:59:19 PM,-65,-54,-66,-63,-90
19,10-2-2020 5:59:20 PM,-68,-54,-64,-68,-82
19,10-2-2020 5:59:21 PM,-63,-48,-61,-69,-84
19,10-2-2020 5:59:22 PM,-64,-62,-62,-71,-87
19,10-2-2020 5:59:23 PM,-73,-57,-61,-66,-86
19,10-2-2020 5:59:24 PM,-61,-65,-69,-63,-81
19,10-2-2020 5:59:25 PM,-69,-54,-70,-66,-81
19,10-2-2020 5:59:26 PM,-67,-58,-67,-72,-81
19,10-2-2020 5:59:27 PM,-63,-57,-70,-64,-85
19,10-2-2020 5:59:28 PM,-65,-65,-70,-66,-80
19,10-2-2020 5:59:29 PM,-68,-60,-69,-65,-77
19,10-2-2020 5:59:30 PM,-74,-61,-60,-66,-85
19,10-2-2020 5:59:31 PM,-69,-51,-70,-70,-80
19,10-2-2020 5:59:32 PM,-70,-59,-71,-73,-78
19,10-2-2020 5:59:33 PM,-69,-57,-66,-70,-86
19,10-2-2020 5:59:34 PM,-63,-55,-72,-70,-75
19,10-2-2020 5:59:35 PM,-71,-65,-65,-77,-79
19,10-2-2020 5:59:36 PM,-69,-63,-63,-81,-80
19,10-2-2020 5:59:37 PM,-73,-60,-54,-78,-81
19,10-2-2020 5:59:38 PM,-70,-58,-61,-78,-80
19,10-2-2020 5:59:39 PM,-66,-62,-55,-75,-78
19,10-2-2020 5:59:40 PM,-65,-60,-64,-83,-73
19,10-2-2020 5:59:41 PM,-59,-70,-54,-85,-80
19,10-2-2020 5:59:42 PM,-63,-66,-57,-85,-82
19,10-2-2020 5:59:43 PM,-70,-63,-61,-82,-85
19,10-2-2020 5:59:44 PM,-67,-65,-52,-86,-86
19,10-2-2020 5:59:45 PM,-69,-63,-56,-77,-86
19,10-2-2020 5:59:46 PM,-69,-59,-57,-88,-84
19,10-2-2020 5:59:47 PM,-71,-55,-58,-82,-82
19,10-2-2020 5:59:48 PM,-67,-56,-60,-79,-75
19,10-2-2020 5:59:49 PM,-76,-51,-57,-76,-74
19,10-2-2020 5:59:50 PM,-71,-59,-50,-77,-78
19,10-2-2020 5:59:51 PM,-70,-57,-57,-82,-81
19,10-2-2020 5:59:52 PM,-72,-57,-55,-77,-84
19,10-2-2020 5:59:53 PM,-70,-59,-66,-82,-83
19,10-2-2020 5:59:54 PM,-60,-63,-60,-86,-75
19,10-2-2020 5:59:55 PM,-62,-61,-61,-83,-77
19,10-2-2020 5:59:56 PM,-67,-63,-59,-77,-76
19,10-2-2020 5:59:57 PM,-64,-62,-55,-80,-84
19,10-2-2020 5:59:58 PM,-67,-56,-55,-80,-76
19,10-2-2020 5:59:59 PM,-75,-54,-60,-79,-78
19,10-2-2020 6:00:00 PM,-65,-55,-65,-76,-80
19,10-2-2020 6:00:01 PM,-74,-58,-56,-73,-80
19,10-2-2020 6:00:02 PM,-70,-58,-58,-75,-83
19,10-2-2020 6:00:03 PM,-75,-64,-62,-77,-77
19,10-2-2020 6:00:04 PM,-68,-56,-59,-78,-75
19,10-2-2020 6:00:05 PM,-69,-60,-69,-77,-84
19,10-2-2020 6:00:06 PM,-70,-64,-63,-77,-75
19,10-2-2020 6:00:07 PM,-75,-58,-68,-72,-82
19,10-2-2020 6:00:08 PM,-67,-60,-65,-74,-74
19,10-2-2020 6:00:09 PM,-72,-67,-74,-77,-80
19,10-2-2020 6:00:10 PM,-63,-61,-72,-74,-76
19,10-2-2020 6:00:11 PM,-68,-61,-76,-84,-75
19,10-2-2020 6:00:12 PM,-68,-56,-73,-70,-78
19,10-2-2020 6:00:13 PM,-67,-58,-72,-77,-84
19,10-2-2020 6:00:14 PM,-65,-56,-70,-77,-77
19,10-2-2020 6:00:15 PM,-65,-55,-64,-74,-78
19,10-2-2020 6:00:16 PM,-72,-61,-69,-87,-82
19,10-2-2020 6:00:17 PM,-67,-61,-69,-76,-85
19,10-2-2020 6:00:18 PM,-65,-56,-58,-78,-74
19,10-2-2020 6:00:19 PM,-63,-62,-63,-73,-80
19,10-2-2020 6:00:20 PM,-71,-56,-69,-77,-75
19,10-2-2020 6:00:21 PM,-63,-55,-67,-78,-72
19,10-2-2020 6:00:22 PM,-59,-56,-69,-78,-77
19,10-2-2020 6:00:23 PM,-70,-56,-68,-74,-80
19,10-2-2020 6:00:24 PM,-61,-61,-68,-74,-70
19,10-2-2020 6:00:25 PM,-60,-52,-62,-66,-78
19,10-2-2020 6:00:26 PM,-61,-58,-62,-81,-78
19,10-2-2020 6:00:27 PM,-63,-59,-68,-67,-75
19,10-2-2020 6:00:28 PM,-67,-56,-66,-74,-82
19,10-2-2020 6:00:29 PM,-70,-53,-69,-75,-77
19,10-2-2020 6:00:30 PM,-64,-57,-75,-69,-73
19,10-2-2020 6:00:31 PM,-65,-55,-70,-69,-83
19,10-2-2020 6:00:32 PM,-70,-64,-70,-72,-82
19,10-2-2020 6:00:33 PM,-72,-59,-74,-71,-76
19,10-2-2020 6:00:34 PM,-76,-66,-71,-68,-79
19,10-2-2020 6:00:35 PM,-75,-64,-69,-72,-88
19,10-2-2020 6:00:36 PM,-75,-65,-64,-62,-80
19,10-2-2020 6:00:37 PM,-70,-54,-68,-76,-82
19,10-2-2020 6:00:38 PM,-69,-63,-65,-72,-76
19,10-2-2020 6:00:39 PM,-68,-56,-71,-74,-80
19,10-2-2020 6:00:40 PM,-75,-53,-69,-68,-75
19,10-2-2020 6:00:41 PM,-70,-67,-66,-72,-87
19,10-2-2020 6:00:42 PM,-70,-57,-76,-75,-84
19,10-2-2020 6:00:43 PM,-70,-62,-71,-78,-82
19,10-2-2020 6:00:44 PM,-70,-56,-73,-66,-79
19,10-2-2020 6:00:45 PM,-70,-56,-78,-72,-74
19,10-2-2020 6:00:46 PM,-69,-47,-64,-70,-80
19,10-2-2020 6:00:47 PM,-70,-52,-70,-75,-75
39,10-2-2020 6:00:48 PM,-65,-51,-65,-73,-76
39,10-2-2020 6:00:49 PM,-74,-55,-61,-70,-76
39,10-2-2020 6:00:50 PM,-60,-58,-60,-70,-74
39,10-2-2020 6:00:51 PM,-66,-59,-62,-77,-79
39,10-2-2020 6:00:52 PM,-64,-56,-62,-74,-76
39,10-2-2020 6:00:53 PM,-66,-56,-68,-78,-84
39,10-2-2020 6:00:54 PM,-70,-58,-66,-70,-76
39,10-2-2020 6:00:55 PM,-63,-53,-66,-81,-81
39,10-2-2020 6:00:56 PM,-71,-48,-70,-72,-78
39,10-2-2020 6:00:57 PM,-69,-54,-65,-80,-74
39,10-2-2020 6:00:58 PM,-77,-48,-69,-78,-85
39,10-2-2020 6:00:59 PM,-71,-57,-79,-78,-76
39,10-2-2020 6:01:00 PM,-67,-55,-72,-78,-79
39,10-2-2020 6:01:01 PM,-71,-50,-70,-80,-78
39,10-2-2020 6:01:02 PM,-70,-51,-67,-72,-76
39,10-2-2020 6:01:03 PM,-70,-58,-78,-70,-82
39,10-2-2020 6:01:04 PM,-70,-54,-69,-74,-81
39,10-2-2020 6:01:05 PM,-72,-58,-70,-79,-76
39,10-2-2020 6:01:06 PM,-67,-53,-72,-76,-80
39,10-2-2020 6:01:07 PM,-65,-60,-69,-72,-84
39,10-2-2020 6:01:08 PM,-64,-51,-61,-74,-80
39,10-2-2020 6:01:09 PM,-70,-55,-67,-73,-84
39,10-2-2020 6:01:10 PM,-66,-50,-72,-71,-79
39,10-2-2020 6:01:11 PM,-77,-57,-76,-72,-78
39,10-2-2020 6:01:12 PM,-65,-60,-72,-72,-78
39,10-2-2020 6:01:13 PM,-72,-57,-65,-70,-80
39,10-2-2020 6:01:14 PM,-68,-59,-67,-79,-73
39,10-2-2020 6:01:15 PM,-66,-56,-73,-73,-78
39,10-2-2020 6:01:16 PM,-72,-51,-67,-68,-76
39,10-2-2020 6:01:17 PM,-64,-51,-74,-76,-77
39,10-2-2020 6:01:18 PM,-67,-54,-80,-71,-81
39,10-2-2020 6:01:19 PM,-70,-55,-72,-69,-83
39,10-2-2020 6:01:20 PM,-70,-49,-72,-71,-81
39,10-2-2020 6:01:21 PM,-69,-48,-76,-72,-74
39,10-2-2020 6:01:22 PM,-62,-55,-67,-73,-82
39,10-2-2020 6:01:23 PM,-67,-52,-73,-75,-76
39,10-2-2020 6:01:24 PM,-71,-52,-65,-73,-82
39,10-2-2020 6:01:25 PM,-68,-55,-69,-75,-76
39,10-2-2020 6:01:26 PM,-64,-55,-67,-75,-77
39,10-2-2020 6:01:27 PM,-71,-53,-71,-76,-81
39,10-2-2020 6:01:28 PM,-66,-55,-68,-77,-77
39,10-2-2020 6:01:29 PM,-69,-54,-71,-77,-80
39,10-2-2020 6:01:30 PM,-70,-51,-69,-76,-77
39,10-2-2020 6:01:31 PM,-59,-53,-72,-76,-72
39,10-2-2020 6:01:32 PM,-62,-47,-69,-79,-72
39,10-2-2020 6:01:33 PM,-58,-51,-74,-73,-82
39,10-2-2020 6:01:34 PM,-64,-42,-69,-79,-75
39,10-2-2020 6:01:35 PM,-60,-52,-62,-72,-70
39,10-2-2020 6:01:36 PM,-60,-48,-63,-78,-77
39,10-2-2020 6:01:37 PM,-65,-48,-69,-72,-82
39,10-2-2020 6:01:38 PM,-62,-46,-63,-76,-76
39,10-2-2020 6:01:39 PM,-55,-40,-63,-78,-80
39,10-2-2020 6:01:40 PM,-67,-48,-65,-68,-77
39,10-2-2020 6:01:41 PM,-66,-42,-71,-77,-75
39,10-2-2020 6:01:42 PM,-71,-54,-70,-66,-82
39,10-2-2020 6:01:43 PM,-73,-44,-74,-76,-81
39,10-2-2020 6:01:44 PM,-61,-51,-65,-76,-78
39,10-2-2020 6:01:45 PM,-68,-53,-80,-79,-80
39,10-2-2020 6:01:46 PM,-68,-58,-72,-78,-80
39,10-2-2020 6:01:47 PM,-69,-48,-77,-71,-75
39,10-2-2020 6:01:48 PM,-67,-57,-81,-80,-75
39,10-2-2020 6:01:49 PM,-66,-58,-72,-75,-75
39,10-2-2020 6:01:50 PM,-67,-54,-79,-78,-72
39,10-2-2020 6:01:51 PM,-65,-55,-69,-72,-82
39,10-2-2020 6:01:52 PM,-69,-61,-73,-81,-76
39,10-2-2020 6:01:53 PM,-74,-59,-72,-79,-76
39,10-2-2020 6:01:54 PM,-64,-54,-68,-76,-73
39,10-2-2020 6:01:55 PM,-67,-53,-73,-79,-75
39,10-2-2020 6:01:56 PM,-75,-55,-71,-78,-79
39,10-2-2020 6:01:57 PM,-69,-49,-76,-77,-71
39,10-2-2020 6:01:58 PM,-69,-54,-77,-74,-71
39,10-2-2020 6:01:59 PM,-63,-52,-78,-84,-80
39,10-2-2020 6:02:00 PM,-75,-63,-76,-74,-78
39,10-2-2020 6:02:01 PM,-77,-49,-72,-82,-80
39,10-2-2020 6:02:02 PM,-74,-52,-74,-78,-72
39,10-2-2020 6:02:03 PM,-72,-55,-75,-76,-75
39,10-2-2020 6:02:04 PM,-70,-57,-76,-84,-75
39,10-2-2020 6:02:05 PM,-71,-55,-72,-75,-81
