location,date,beacon1,beacon2,beacon3,beacon4,beacon5
19,10-2-2020 5:59:12 PM,-69,-63,-61,-75,-81
19,10-2-2020 5:59:13 PM,-70,-64,-61,-76,-80
19,10-2-2020 5:59:14 PM,-70,-63,-61,-75,-80
19,10-2-2020 5:59:15 PM,-70,-61,-62,-74,-80
19,10-2-2020 5:59:16 PM,-70,-59,-63,-72,-81
19,10-2-2020 5:59:17 PM,-69,-56,-64,-70,-82
19,10-2-2020 5:59:18 PM,-68,-55,-65,-69,-83
19,10-2-2020 5:59:19 PM,-68,-56,-64,-69,-83
19,10-2-2020 5:59:20 PM,-68,-58,-64,-71,-83
19,10-2-2020 5:59:21 PM,-68,-61,-62,-73,-82
19,10-2-2020 5:59:22 PM,-68,-58,-65,-67,-84
19,10-2-2020 5:59:23 PM,-67,-58,-65,-67,-84
19,10-2-2020 5:59:24 PM,-67,-57,-66,-67,-83
19,10-2-2020 5:59:25 PM,-67,-58,-67,-67,-83
19,10-2-2020 5:59:26 PM,-67,-58,-68,-67,-82
19,10-2-2020 5:59:27 PM,-67,-59,-68,-67,-82
19,10-2-2020 5:59:28 PM,-68,-59,-67,-68,-82
19,10-2-2020 5:59:29 PM,-68,-60,-66,-68,-82
19,10-2-2020 5:59:30 PM,-68,-59,-65,-68,-83
19,10-2-2020 5:59:31 PM,-68,-59,-65,-68,-83
19,10-2-2020 5:59:32 PM,-67,-62,-64,-76,-81
19,10-2-2020 5:59:33 PM,-68,-62,-65,-75,-88
19,10-2-2020 5:59:34 PM,-68,-62,-65,-75,-95
19,10-2-2020 5:59:35 PM,-69,-62,-64,-75,-101
19,10-2-2020 5:59:36 PM,-69,-62,-62,-77,-103
19,10-2-2020 5:59:37 PM,-69,-61,-61,-78,-101
19,10-2-2020 5:59:38 PM,-69,-61,-60,-79,-94
19,10-2-2020 5:59:39 PM,-68,-61,-60,-79,-87
19,10-2-2020 5:59:40 PM,-67,-61,-61,-79,-81
19,10-2-2020 5:59:41 PM,-67,-61,-63,-77,-79
19,10-2-2020 5:59:42 PM,-68,-62,-56,-82,-82
19,10-2-2020 5:59:43 PM,-68,-63,-57,-82,-82
19,10-2-2020 5:59:44 PM,-69,-62,-57,-83,-82
19,10-2-2020 5:59:45 PM,-70,-62,-57,-82,-81
19,10-2-2020 5:59:46 PM,-71,-61,-57,-82,-79
19,10-2-2020 5:59:47 PM,-71,-60,-57,-81,-78
19,10-2-2020 5:59:48 PM,-70,-60,-57,-80,-78
19,10-2-2020 5:59:49 PM,-69,-60,-57,-79,-78
19,10-2-2020 5:59:50 PM,-68,-61,-57,-80,-79
19,10-2-2020 5:59:51 PM,-68,-62,-56,-81,-80
19,10-2-2020 5:59:52 PM,-67,-58,-62,-81,-79
19,10-2-2020 5:59:53 PM,-66,-58,-62,-82,-79
19,10-2-2020 5:59:54 PM,-65,-59,-61,-92,-78
19,10-2-2020 5:59:55 PM,-65,-59,-60,-105,-78
19,10-2-2020 5:59:56 PM,-65,-59,-59,-118,-78
19,10-2-2020 5:59:57 PM,-66,-58,-59,-126,-77
19,10-2-2020 5:59:58 PM,-67,-58,-59,-125,-78
19,10-2-2020 5:59:59 PM,-68,-57,-59,-115,-78
29,10-2-2020 6:00:00 PM,-68,-57,-60,-102,-78
29,10-2-2020 6:00:01 PM,-68,-57,-61,-89,-79
29,10-2-2020 6:00:02 PM,-69,-60,-67,-77,-78
29,10-2-2020 6:00:03 PM,-70,-59,-67,-77,-78
29,10-2-2020 6:00:04 PM,-70,-58,-67,-76,-79
29,10-2-2020 6:00:05 PM,-71,-58,-67,-76,-79
29,10-2-2020 6:00:06 PM,-70,-59,-68,-75,-79
29,10-2-2020 6:00:07 PM,-70,-60,-68,-75,-79
29,10-2-2020 6:00:08 PM,-69,-61,-69,-75,-78
