location,date,beacon1,beacon2,beacon3,beacon4,beacon5
19,10-2-2020 5:59:12 PM,-72.0,-75.0,-59.0,-85.0,-79.0
19,10-2-2020 5:59:13 PM,-72.0,-72.0,-57.0,-82.0,-75.0
19,10-2-2020 5:59:14 PM,-71.0,-68.0,-59.0,-79.0,-77.0
19,10-2-2020 5:59:15 PM,-70.0,-65.0,-60.0,-77.0,-79.0
19,10-2-2020 5:59:16 PM,-70.0,-62.0,-62.0,-74.0,-80.0
19,10-2-2020 5:59:17 PM,-69.0,-59.0,-63.0,-71.0,-82.0
19,10-2-2020 5:59:18 PM,-69.0,-56.0,-65.0,-69.0,-83.0
19,10-2-2020 5:59:19 PM,-68.0,-53.0,-67.0,-67.0,-85.0
19,10-2-2020 5:59:20 PM,-68.0,-59.0,-65.0,-69.0,-82.0
19,10-2-2020 5:59:21 PM,-64.0,-55.0,-59.0,-69.0,-86.0
19,10-2-2020 5:59:22 PM,-65.0,-55.0,-61.0,-68.0,-86.0
19,10-2-2020 5:59:23 PM,-65.0,-56.0,-62.0,-68.0,-85.0
19,10-2-2020 5:59:24 PM,-66.0,-56.0,-64.0,-68.0,-85.0
19,10-2-2020 5:59:25 PM,-66.0,-57.0,-65.0,-67.0,-84.0
19,10-2-2020 5:59:26 PM,-67.0,-57.0,-67.0,-67.0,-84.0
19,10-2-2020 5:59:27 PM,-67.0,-57.0,-68.0,-67.0,-83.0
19,10-2-2020 5:59:28 PM,-66.0,-65.0,-70.0,-67.0,-81.0
19,10-2-2020 5:59:29 PM,-71.0,-57.0,-67.0,-66.0,-82.0
19,10-2-2020 5:59:30 PM,-70.0,-57.0,-67.0,-67.0,-81.0
19,10-2-2020 5:59:31 PM,-70.0,-58.0,-67.0,-68.0,-81.0
19,10-2-2020 5:59:32 PM,-70.0,-59.0,-67.0,-69.0,-81.0
19,10-2-2020 5:59:33 PM,-69.0,-59.0,-66.0,-70.0,-80.0
19,10-2-2020 5:59:34 PM,-69.0,-60.0,-66.0,-71.0,-80.0
19,10-2-2020 5:59:35 PM,-69.0,-61.0,-66.0,-72.0,-80.0
19,10-2-2020 5:59:36 PM,-70.0,-65.0,-64.0,-84.0,-80.0
19,10-2-2020 5:59:37 PM,-71.0,-57.0,-58.0,-76.0,-77.0
19,10-2-2020 5:59:38 PM,-70.0,-59.0,-58.0,-77.0,-77.0
19,10-2-2020 5:59:39 PM,-69.0,-60.0,-59.0,-78.0,-78.0
19,10-2-2020 5:59:40 PM,-68.0,-61.0,-59.0,-80.0,-79.0
19,10-2-2020 5:59:41 PM,-67.0,-62.0,-59.0,-81.0,-80.0
19,10-2-2020 5:59:42 PM,-66.0,-63.0,-59.0,-82.0,-81.0
19,10-2-2020 5:59:43 PM,-65.0,-65.0,-59.0,-83.0,-81.0
19,10-2-2020 5:59:44 PM,-73.0,-66.0,-53.0,-87.0,-86.0
19,10-2-2020 5:59:45 PM,-72.0,-60.0,-58.0,-82.0,-77.0
19,10-2-2020 5:59:46 PM,-72.0,-60.0,-58.0,-81.0,-77.0
19,10-2-2020 5:59:47 PM,-71.0,-60.0,-58.0,-81.0,-78.0
19,10-2-2020 5:59:48 PM,-70.0,-60.0,-57.0,-80.0,-78.0
19,10-2-2020 5:59:49 PM,-70.0,-59.0,-57.0,-80.0,-78.0
19,10-2-2020 5:59:50 PM,-69.0,-59.0,-56.0,-79.0,-78.0
19,10-2-2020 5:59:51 PM,-68.0,-59.0,-56.0,-79.0,-79.0
19,10-2-2020 5:59:52 PM,-72.0,-57.0,-65.0,-77.0,-85.0
19,10-2-2020 5:59:53 PM,-60.0,-61.0,-64.0,-85.0,-78.0
19,10-2-2020 5:59:54 PM,-61.0,-61.0,-63.0,-84.0,-78.0
19,10-2-2020 5:59:55 PM,-63.0,-60.0,-62.0,-83.0,-78.0
19,10-2-2020 5:59:56 PM,-64.0,-59.0,-61.0,-82.0,-77.0
19,10-2-2020 5:59:57 PM,-65.0,-58.0,-59.0,-81.0,-77.0
19,10-2-2020 5:59:58 PM,-67.0,-58.0,-58.0,-80.0,-77.0
19,10-2-2020 5:59:59 PM,-68.0,-57.0,-57.0,-80.0,-77.0
19,10-2-2020 6:00:00 PM,-65.0,-56.0,-65.0,-77.0,-77.0
19,10-2-2020 6:00:01 PM,-69.0,-59.0,-57.0,-75.0,-79.0
19,10-2-2020 6:00:02 PM,-70.0,-59.0,-58.0,-75.0,-79.0
19,10-2-2020 6:00:03 PM,-70.0,-59.0,-60.0,-75.0,-80.0
19,10-2-2020 6:00:04 PM,-71.0,-58.0,-62.0,-75.0,-80.0
19,10-2-2020 6:00:05 PM,-71.0,-58.0,-64.0,-75.0,-80.0
19,10-2-2020 6:00:06 PM,-72.0,-58.0,-66.0,-75.0,-80.0
19,10-2-2020 6:00:07 PM,-72.0,-58.0,-68.0,-75.0,-80.0
19,10-2-2020 6:00:08 PM,-63.0,-60.0,-66.0,-75.0,-75.0
19,10-2-2020 6:00:09 PM,-70.0,-66.0,-76.0,-77.0,-77.0
19,10-2-2020 6:00:10 PM,-69.0,-64.0,-75.0,-77.0,-77.0
19,10-2-2020 6:00:11 PM,-69.0,-62.0,-73.0,-76.0,-77.0
19,10-2-2020 6:00:12 PM,-68.0,-61.0,-72.0,-76.0,-78.0
19,10-2-2020 6:00:13 PM,-67.0,-59.0,-71.0,-75.0,-78.0
19,10-2-2020 6:00:14 PM,-66.0,-57.0,-70.0,-75.0,-78.0
19,10-2-2020 6:00:15 PM,-65.0,-56.0,-69.0,-74.0,-78.0
19,10-2-2020 6:00:16 PM,-72.0,-60.0,-70.0,-87.0,-78.0
19,10-2-2020 6:00:17 PM,-67.0,-62.0,-63.0,-77.0,-78.0
19,10-2-2020 6:00:18 PM,-66.0,-61.0,-64.0,-77.0,-78.0
19,10-2-2020 6:00:19 PM,-66.0,-60.0,-65.0,-77.0,-77.0
19,10-2-2020 6:00:20 PM,-66.0,-59.0,-66.0,-77.0,-77.0
19,10-2-2020 6:00:21 PM,-66.0,-58.0,-67.0,-77.0,-77.0
19,10-2-2020 6:00:22 PM,-66.0,-56.0,-68.0,-76.0,-77.0
19,10-2-2020 6:00:23 PM,-65.0,-55.0,-69.0,-76.0,-76.0
19,10-2-2020 6:00:24 PM,-65.0,-61.0,-64.0,-75.0,-75.0
19,10-2-2020 6:00:25 PM,-60.0,-53.0,-59.0,-72.0,-75.0
19,10-2-2020 6:00:26 PM,-61.0,-54.0,-61.0,-72.0,-76.0
19,10-2-2020 6:00:27 PM,-63.0,-55.0,-63.0,-72.0,-76.0
19,10-2-2020 6:00:28 PM,-64.0,-56.0,-64.0,-72.0,-77.0
19,10-2-2020 6:00:29 PM,-65.0,-57.0,-66.0,-72.0,-77.0
19,10-2-2020 6:00:30 PM,-66.0,-58.0,-68.0,-72.0,-78.0
19,10-2-2020 6:00:31 PM,-68.0,-59.0,-70.0,-72.0,-78.0
19,10-2-2020 6:00:32 PM,-71.0,-64.0,-71.0,-74.0,-85.0
19,10-2-2020 6:00:33 PM,-77.0,-63.0,-71.0,-71.0,-83.0
19,10-2-2020 6:00:34 PM,-76.0,-62.0,-70.0,-71.0,-83.0
19,10-2-2020 6:00:35 PM,-75.0,-62.0,-69.0,-71.0,-82.0
19,10-2-2020 6:00:36 PM,-74.0,-61.0,-69.0,-72.0,-82.0
19,10-2-2020 6:00:37 PM,-73.0,-61.0,-68.0,-72.0,-81.0
19,10-2-2020 6:00:38 PM,-72.0,-60.0,-68.0,-72.0,-80.0
19,10-2-2020 6:00:39 PM,-71.0,-60.0,-67.0,-72.0,-80.0
19,10-2-2020 6:00:40 PM,-75.0,-52.0,-69.0,-72.0,-75.0
19,10-2-2020 6:00:41 PM,-63.0,-69.0,-74.0,-71.0,-89.0
19,10-2-2020 6:00:42 PM,-64.0,-66.0,-73.0,-71.0,-87.0
19,10-2-2020 6:00:43 PM,-65.0,-63.0,-72.0,-72.0,-85.0
19,10-2-2020 6:00:44 PM,-66.0,-61.0,-71.0,-72.0,-83.0
19,10-2-2020 6:00:45 PM,-67.0,-58.0,-70.0,-73.0,-81.0
19,10-2-2020 6:00:46 PM,-69.0,-56.0,-69.0,-73.0,-79.0
19,10-2-2020 6:00:47 PM,-70.0,-53.0,-68.0,-74.0,-77.0
39,10-2-2020 6:00:48 PM,-65.0,-52.0,-65.0,-73.0,-69.0
39,10-2-2020 6:00:49 PM,-67.0,-58.0,-58.0,-69.0,-74.0
39,10-2-2020 6:00:50 PM,-67.0,-58.0,-59.0,-70.0,-75.0
39,10-2-2020 6:00:51 PM,-66.0,-57.0,-61.0,-71.0,-76.0
39,10-2-2020 6:00:52 PM,-66.0,-57.0,-63.0,-72.0,-76.0
39,10-2-2020 6:00:53 PM,-65.0,-56.0,-64.0,-74.0,-77.0
39,10-2-2020 6:00:54 PM,-65.0,-56.0,-66.0,-75.0,-78.0
39,10-2-2020 6:00:55 PM,-65.0,-55.0,-68.0,-76.0,-79.0
