location,date,beacon1,beacon2,beacon3,beacon4,beacon5
19,10-2-2020 5:59:12 PM,-72,-75,-59,-85,-79
19,10-2-2020 5:59:13 PM,-72,-75,-57,-85,-76
19,10-2-2020 5:59:14 PM,-74,-72,-59,-83,-78
19,10-2-2020 5:59:15 PM,-73,-68,-60,-78,-80
19,10-2-2020 5:59:16 PM,-71,-63,-61,-74,-80
19,10-2-2020 5:59:17 PM,-68,-58,-60,-75,-81
19,10-2-2020 5:59:18 PM,-69,-56,-61,-72,-82
19,10-2-2020 5:59:19 PM,-67,-55,-64,-68,-84
19,10-2-2020 5:59:20 PM,-69,-56,-65,-67,-84
19,10-2-2020 5:59:21 PM,-68,-55,-61,-68,-84
19,10-2-2020 5:59:22 PM,-68,-57,-61,-71,-87
19,10-2-2020 5:59:23 PM,-71,-58,-60,-70,-86
19,10-2-2020 5:59:24 PM,-67,-56,-64,-66,-85
19,10-2-2020 5:59:25 PM,-69,-55,-66,-66,-83
19,10-2-2020 5:59:26 PM,-67,-56,-66,-67,-82
19,10-2-2020 5:59:27 PM,-67,-57,-67,-66,-81
19,10-2-2020 5:59:28 PM,-67,-62,-68,-66,-79
19,10-2-2020 5:59:29 PM,-67,-61,-66,-66,-77
19,10-2-2020 5:59:30 PM,-69,-61,-64,-69,-82
19,10-2-2020 5:59:31 PM,-68,-57,-64,-68,-81
19,10-2-2020 5:59:32 PM,-69,-57,-68,-72,-79
19,10-2-2020 5:59:33 PM,-68,-57,-69,-71,-83
19,10-2-2020 5:59:34 PM,-66,-60,-68,-67,-79
19,10-2-2020 5:59:35 PM,-68,-62,-67,-70,-80
19,10-2-2020 5:59:36 PM,-68,-62,-64,-73,-129
19,10-2-2020 5:59:37 PM,-70,-58,-59,-73,-110
19,10-2-2020 5:59:38 PM,-70,-59,-62,-75,-98
19,10-2-2020 5:59:39 PM,-69,-59,-59,-76,-91
19,10-2-2020 5:59:40 PM,-69,-61,-62,-77,-83
19,10-2-2020 5:59:41 PM,-67,-64,-58,-80,-82
19,10-2-2020 5:59:42 PM,-65,-65,-57,-82,-84
19,10-2-2020 5:59:43 PM,-66,-65,-59,-83,-83
19,10-2-2020 5:59:44 PM,-69,-65,-58,-83,-83
19,10-2-2020 5:59:45 PM,-69,-66,-57,-80,-83
19,10-2-2020 5:59:46 PM,-69,-63,-57,-84,-78
19,10-2-2020 5:59:47 PM,-70,-60,-58,-82,-79
19,10-2-2020 5:59:48 PM,-69,-59,-58,-79,-77
19,10-2-2020 5:59:49 PM,-71,-61,-58,-75,-74
19,10-2-2020 5:59:50 PM,-72,-63,-53,-76,-75
19,10-2-2020 5:59:51 PM,-69,-61,-54,-81,-78
19,10-2-2020 5:59:52 PM,-70,-57,-56,-79,-82
19,10-2-2020 5:59:53 PM,-70,-58,-60,-79,-79
19,10-2-2020 5:59:54 PM,-66,-62,-59,-83,-76
19,10-2-2020 5:59:55 PM,-64,-58,-61,-81,-77
19,10-2-2020 5:59:56 PM,-66,-59,-60,-81,-76
19,10-2-2020 5:59:57 PM,-66,-61,-56,-128,-80
19,10-2-2020 5:59:58 PM,-66,-58,-56,-158,-79
19,10-2-2020 5:59:59 PM,-68,-57,-58,-128,-77
19,10-2-2020 6:00:00 PM,-67,-57,-61,-106,-77
19,10-2-2020 6:00:01 PM,-68,-59,-58,-93,-77
19,10-2-2020 6:00:02 PM,-66,-59,-59,-87,-81
19,10-2-2020 6:00:03 PM,-69,-60,-61,-83,-80
19,10-2-2020 6:00:04 PM,-68,-58,-66,-80,-79
19,10-2-2020 6:00:05 PM,-70,-56,-69,-78,-81
19,10-2-2020 6:00:06 PM,-71,-60,-68,-75,-79
19,10-2-2020 6:00:07 PM,-74,-57,-69,-75,-80
19,10-2-2020 6:00:08 PM,-70,-58,-66,-74,-78
19,10-2-2020 6:00:09 PM,-72,-61,-67,-75,-77
19,10-2-2020 6:00:10 PM,-69,-61,-69,-74,-77
19,10-2-2020 6:00:11 PM,-69,-61,-71,-78,-76
19,10-2-2020 6:00:12 PM,-69,-57,-73,-74,-77
19,10-2-2020 6:00:13 PM,-70,-58,-71,-73,-81
19,10-2-2020 6:00:14 PM,-68,-58,-69,-76,-78
19,10-2-2020 6:00:15 PM,-66,-56,-68,-76,-79
19,10-2-2020 6:00:16 PM,-69,-58,-70,-80,-78
19,10-2-2020 6:00:17 PM,-68,-60,-69,-78,-79
19,10-2-2020 6:00:18 PM,-66,-59,-63,-77,-78
19,10-2-2020 6:00:19 PM,-63,-60,-64,-76,-78
19,10-2-2020 6:00:20 PM,-66,-61,-65,-78,-77
19,10-2-2020 6:00:21 PM,-67,-60,-66,-77,-75
19,10-2-2020 6:00:22 PM,-63,-57,-69,-77,-77
19,10-2-2020 6:00:23 PM,-66,-57,-70,-75,-80
19,10-2-2020 6:00:24 PM,-64,-57,-68,-74,-77
19,10-2-2020 6:00:25 PM,-63,-56,-65,-70,-75
19,10-2-2020 6:00:26 PM,-63,-56,-63,-73,-75
19,10-2-2020 6:00:27 PM,-62,-55,-65,-69,-74
